,Score,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,AST,TO,STL,BLK,PF,Games
1103_2006,71.46666666666667,24.333333333333332,54.233333333333334,7.5,21.0,15.3,21.033333333333335,11.0,22.133333333333333,15.633333333333333,10.5,6.033333333333333,2.966666666666667,18.966666666666665,30
1103_2007,74.625,27.03125,55.96875,7.21875,18.375,13.34375,19.84375,12.0,22.96875,15.03125,11.21875,7.71875,4.375,18.75,32
1103_2008,71.24242424242425,23.848484848484848,53.75757575757576,8.363636363636363,21.727272727272727,15.181818181818182,21.454545454545453,11.181818181818182,20.242424242424242,13.454545454545455,10.333333333333334,7.0606060606060606,2.787878787878788,19.575757575757574,33
1103_2009,66.41176470588235,22.58823529411765,54.26470588235294,7.117647058823529,21.61764705882353,14.117647058823529,19.735294117647058,11.735294117647058,21.352941176470587,12.117647058823529,11.794117647058824,7.647058823529412,2.264705882352941,20.61764705882353,34
1103_2010,71.03030303030303,25.09090909090909,57.63636363636363,6.606060606060606,19.515151515151516,14.242424242424242,21.393939393939394,13.454545454545455,22.696969696969695,13.515151515151516,11.909090909090908,6.242424242424242,3.1818181818181817,19.87878787878788,33
1103_2011,69.97058823529412,24.58823529411765,57.205882352941174,7.882352941176471,21.88235294117647,12.911764705882353,18.235294117647058,10.058823529411764,24.205882352941178,14.352941176470589,9.941176470588236,6.4411764705882355,3.411764705882353,19.235294117647058,34
1103_2012,71.46875,25.09375,54.40625,5.90625,16.125,15.375,22.25,11.28125,23.75,13.71875,11.625,7.3125,4.3125,18.3125,32
1103_2013,71.93548387096774,25.774193548387096,56.935483870967744,6.935483870967742,20.870967741935484,13.451612903225806,20.93548387096774,13.03225806451613,24.774193548387096,15.0,12.387096774193548,7.129032258064516,5.580645161290323,18.0,31
1103_2014,67.9090909090909,23.545454545454547,54.515151515151516,7.090909090909091,20.393939393939394,13.727272727272727,22.21212121212121,12.303030303030303,22.666666666666668,11.151515151515152,10.787878787878787,6.606060606060606,4.212121212121212,17.818181818181817,33
1103_2015,67.3529411764706,23.147058823529413,56.35294117647059,9.411764705882353,26.941176470588236,11.647058823529411,17.647058823529413,11.970588235294118,23.941176470588236,12.411764705882353,9.911764705882353,6.264705882352941,4.470588235294118,18.852941176470587,34
1103_2016,76.33333333333333,25.939393939393938,59.81818181818182,11.787878787878787,30.272727272727273,12.666666666666666,18.363636363636363,10.303030303030303,26.12121212121212,14.515151515151516,9.666666666666666,5.333333333333333,3.8484848484848486,17.848484848484848,33
1103_2017,76.66666666666667,26.272727272727273,56.303030303030305,10.090909090909092,27.303030303030305,14.030303030303031,20.696969696969695,9.818181818181818,24.575757575757574,14.515151515151516,10.242424242424242,5.424242424242424,3.121212121212121,18.363636363636363,33
1103_2018,71.29032258064517,24.677419354838708,57.064516129032256,9.451612903225806,26.64516129032258,12.483870967741936,17.93548387096774,9.580645161290322,23.483870967741936,12.935483870967742,9.580645161290322,5.967741935483871,2.3870967741935485,20.032258064516128,31
1103_2019,68.35483870967742,23.93548387096774,58.87096774193548,8.870967741935484,28.0,11.612903225806452,16.29032258064516,9.32258064516129,26.806451612903224,11.935483870967742,9.096774193548388,5.612903225806452,3.129032258064516,17.483870967741936,31
1103_2020,74.72413793103448,24.96551724137931,57.13793103448276,9.172413793103448,25.310344827586206,15.620689655172415,20.344827586206897,9.517241379310345,27.620689655172413,12.655172413793103,11.344827586206897,4.896551724137931,2.8620689655172415,17.93103448275862,29
1103_2021,76.57142857142857,26.571428571428573,60.714285714285715,9.380952380952381,28.095238095238095,14.047619047619047,18.61904761904762,9.0,25.238095238095237,12.80952380952381,9.666666666666666,4.714285714285714,3.761904761904762,5.9523809523809526,21
1103_2022,69.29032258064517,23.580645161290324,51.96774193548387,7.709677419354839,21.677419354838708,14.419354838709678,20.838709677419356,7.870967741935484,23.483870967741936,11.516129032258064,9.258064516129032,5.483870967741935,3.096774193548387,15.96774193548387,31
1104_2003,69.28571428571429,24.035714285714285,57.17857142857143,6.357142857142857,19.857142857142858,14.857142857142858,20.928571428571427,13.571428571428571,23.928571428571427,12.107142857142858,10.321428571428571,6.607142857142857,3.7857142857142856,18.035714285714285,28
1104_2004,72.20689655172414,24.896551724137932,55.0,7.137931034482759,18.620689655172413,15.275862068965518,21.862068965517242,11.310344827586206,24.0,11.862068965517242,9.655172413793103,6.448275862068965,3.103448275862069,18.344827586206897,29
1104_2005,75.43333333333334,25.366666666666667,52.666666666666664,7.633333333333334,19.566666666666666,17.066666666666666,23.266666666666666,10.233333333333333,26.466666666666665,13.833333333333334,11.2,5.2,4.433333333333334,14.733333333333333,30
1104_2006,69.96551724137932,24.517241379310345,54.06896551724138,5.517241379310345,16.24137931034483,15.413793103448276,21.82758620689655,12.517241379310345,24.482758620689655,12.206896551724139,11.0,6.344827586206897,5.0344827586206895,13.827586206896552,29
1104_2007,73.61290322580645,26.225806451612904,57.29032258064516,6.451612903225806,17.483870967741936,14.709677419354838,20.774193548387096,13.35483870967742,25.35483870967742,13.129032258064516,11.516129032258064,5.580645161290323,5.258064516129032,14.0,31
1104_2008,75.27272727272727,27.78787878787879,60.90909090909091,7.03030303030303,19.393939393939394,12.666666666666666,20.424242424242426,13.575757575757576,24.606060606060606,15.606060606060606,10.575757575757576,7.454545454545454,4.484848484848484,16.757575757575758,33
1104_2009,72.83333333333333,25.966666666666665,59.43333333333333,4.833333333333333,14.633333333333333,16.066666666666666,22.8,14.033333333333333,25.733333333333334,11.166666666666666,11.533333333333333,7.0,4.666666666666667,17.333333333333332,30
1104_2010,68.5,24.71875,56.0625,5.46875,15.625,13.59375,19.21875,12.0625,23.125,13.40625,9.4375,7.78125,3.96875,18.21875,32
1104_2011,66.65625,24.875,55.90625,4.09375,13.71875,12.8125,17.71875,12.59375,24.0625,12.40625,11.53125,9.25,5.21875,18.40625,32
1104_2012,64.9375,23.625,52.3125,4.03125,14.15625,13.65625,19.09375,10.8125,24.375,12.28125,10.5,7.3125,4.15625,18.40625,32
1104_2013,62.59375,22.3125,52.0625,5.5,16.34375,12.46875,17.90625,10.4375,21.96875,10.46875,9.90625,8.21875,4.46875,17.5,32
1104_2014,66.70967741935483,22.70967741935484,51.806451612903224,5.741935483870968,17.258064516129032,15.548387096774194,22.774193548387096,9.903225806451612,22.580645161290324,10.774193548387096,8.096774193548388,6.741935483870968,4.225806451612903,19.161290322580644,31
1104_2015,66.64516129032258,22.032258064516128,50.25806451612903,6.580645161290323,20.483870967741936,16.0,22.161290322580644,9.516129032258064,23.096774193548388,10.35483870967742,8.806451612903226,6.290322580645161,3.6129032258064515,19.29032258064516,31
1104_2016,66.84375,22.53125,52.8125,7.84375,22.875,13.9375,21.78125,9.78125,24.875,10.5625,10.125,5.625,5.28125,19.3125,32
1104_2017,68.66666666666667,23.757575757575758,56.06060606060606,6.606060606060606,20.78787878787879,14.545454545454545,22.393939393939394,12.303030303030303,26.87878787878788,11.424242424242424,10.484848484848484,6.0,4.212121212121212,19.727272727272727,33
1104_2018,72.3529411764706,25.294117647058822,55.205882352941174,6.382352941176471,19.676470588235293,15.382352941176471,22.88235294117647,10.029411764705882,26.264705882352942,12.529411764705882,11.147058823529411,6.411764705882353,5.470588235294118,19.0,34
1104_2019,71.78787878787878,25.060606060606062,56.84848484848485,7.0606060606060606,20.848484848484848,14.606060606060606,21.87878787878788,11.151515151515152,26.424242424242426,12.151515151515152,11.0,4.606060606060606,4.666666666666667,16.96969696969697,33
1104_2020,82.0,27.548387096774192,63.096774193548384,10.774193548387096,30.870967741935484,16.129032258064516,23.258064516129032,11.709677419354838,27.64516129032258,14.225806451612904,11.96774193548387,6.32258064516129,4.387096774193548,20.225806451612904,31
1104_2021,79.56666666666666,27.8,64.56666666666666,10.666666666666666,30.4,13.3,18.466666666666665,10.4,25.966666666666665,14.133333333333333,12.433333333333334,8.633333333333333,4.333333333333333,4.933333333333334,30
1104_2022,79.96875,27.65625,62.75,9.28125,30.09375,15.375,21.0625,11.625,24.71875,14.625,11.875,7.0,4.71875,18.59375,32
1105_2003,71.76923076923077,24.384615384615383,61.61538461538461,7.576923076923077,20.76923076923077,15.423076923076923,21.846153846153847,13.5,23.115384615384617,14.538461538461538,12.307692307692308,9.307692307692308,2.076923076923077,20.23076923076923,26
1105_2004,69.79310344827586,23.620689655172413,57.89655172413793,6.206896551724138,19.551724137931036,16.344827586206897,23.724137931034484,12.517241379310345,23.96551724137931,12.344827586206897,11.793103448275861,7.206896551724138,2.5517241379310347,21.517241379310345,29
1105_2005,69.06896551724138,23.655172413793103,59.0,6.103448275862069,20.24137931034483,15.655172413793103,25.517241379310345,12.931034482758621,24.310344827586206,13.137931034482758,11.344827586206897,10.620689655172415,3.8620689655172415,19.344827586206897,29
1105_2006,73.95652173913044,25.52173913043478,61.130434782608695,6.260869565217392,19.434782608695652,16.652173913043477,25.52173913043478,12.91304347826087,25.434782608695652,12.130434782608695,11.521739130434783,8.217391304347826,5.739130434782608,19.695652173913043,23
1105_2007,60.03846153846154,20.76923076923077,55.11538461538461,4.730769230769231,18.03846153846154,13.76923076923077,21.692307692307693,11.038461538461538,23.73076923076923,10.115384615384615,11.653846153846153,6.730769230769231,7.653846153846154,20.307692307692307,26
1105_2008,64.1923076923077,21.5,56.5,6.0,18.23076923076923,15.192307692307692,22.115384615384617,12.653846153846153,22.576923076923077,9.615384615384615,12.0,7.1923076923076925,5.653846153846154,18.807692307692307,26
1105_2009,64.0,22.291666666666668,57.291666666666664,4.5,16.791666666666668,14.916666666666666,22.666666666666668,12.291666666666666,22.291666666666668,10.666666666666666,10.958333333333334,8.041666666666666,3.4583333333333335,20.333333333333332,24
1105_2010,63.82608695652174,21.17391304347826,57.17391304347826,3.8260869565217392,13.565217391304348,17.652173913043477,27.52173913043478,13.956521739130435,21.608695652173914,9.695652173913043,10.826086956521738,9.391304347826088,5.217391304347826,20.652173913043477,23
1105_2011,62.8,22.16,55.8,4.28,15.0,14.2,22.76,11.88,24.68,11.6,11.4,8.56,5.28,20.0,25
1105_2012,61.11538461538461,21.692307692307693,53.88461538461539,5.269230769230769,16.653846153846153,12.461538461538462,19.115384615384617,10.923076923076923,22.53846153846154,10.615384615384615,9.26923076923077,6.153846153846154,4.0,22.46153846153846,26
1105_2013,61.58620689655172,21.93103448275862,55.62068965517241,4.827586206896552,16.689655172413794,12.89655172413793,20.551724137931036,11.862068965517242,23.448275862068964,11.379310344827585,9.620689655172415,5.482758620689655,3.3448275862068964,17.448275862068964,29
1105_2014,63.82142857142857,21.535714285714285,53.107142857142854,6.107142857142857,18.892857142857142,14.642857142857142,22.071428571428573,9.821428571428571,23.821428571428573,12.535714285714286,9.714285714285714,6.035714285714286,4.071428571428571,21.964285714285715,28
1105_2015,61.285714285714285,20.678571428571427,52.642857142857146,5.75,19.785714285714285,14.178571428571429,21.892857142857142,12.428571428571429,21.5,12.035714285714286,8.785714285714286,5.642857142857143,2.357142857142857,19.75,28
1105_2016,67.10714285714286,23.25,56.17857142857143,5.892857142857143,20.821428571428573,14.714285714285714,21.571428571428573,11.392857142857142,23.035714285714285,12.642857142857142,7.928571428571429,5.607142857142857,2.142857142857143,19.357142857142858,28
1105_2017,61.86206896551724,21.724137931034484,53.96551724137931,4.310344827586207,15.758620689655173,14.10344827586207,21.17241379310345,10.310344827586206,21.862068965517242,11.379310344827585,7.793103448275862,3.5517241379310347,1.793103448275862,18.137931034482758,29
1105_2018,60.41935483870968,21.70967741935484,54.70967741935484,5.870967741935484,19.387096774193548,11.129032258064516,17.193548387096776,10.806451612903226,22.93548387096774,10.96774193548387,8.64516129032258,3.967741935483871,1.5806451612903225,16.322580645161292,31
1105_2019,60.5625,23.0,56.46875,5.6875,18.0,8.875,14.15625,10.03125,22.0,12.0,9.0625,7.3125,1.53125,18.34375,32
1105_2020,61.5,21.866666666666667,57.56666666666667,5.133333333333334,18.266666666666666,12.633333333333333,18.833333333333332,9.633333333333333,24.833333333333332,10.866666666666667,8.0,5.8,2.1,17.933333333333334,30
1105_2021,63.333333333333336,23.133333333333333,57.86666666666667,5.533333333333333,19.2,11.533333333333333,18.4,9.4,25.466666666666665,11.0,10.733333333333333,5.466666666666667,3.6,6.933333333333334,15
1105_2022,61.43333333333333,21.866666666666667,57.733333333333334,3.9,14.4,13.8,19.366666666666667,9.466666666666667,23.933333333333334,9.5,9.466666666666667,7.033333333333333,3.2,16.1,30
1106_2003,63.607142857142854,23.428571428571427,55.285714285714285,6.107142857142857,17.642857142857142,10.642857142857142,16.464285714285715,12.285714285714286,23.857142857142858,11.678571428571429,12.964285714285714,8.357142857142858,3.142857142857143,18.178571428571427,28
1106_2004,61.43333333333333,20.566666666666666,48.733333333333334,5.533333333333333,16.566666666666666,14.766666666666667,22.466666666666665,11.7,22.766666666666666,10.266666666666667,13.033333333333333,7.066666666666666,3.1333333333333333,18.7,30
1106_2005,57.96666666666667,19.433333333333334,51.0,4.533333333333333,15.1,14.566666666666666,22.433333333333334,11.266666666666667,22.4,10.366666666666667,12.1,6.7,2.0,17.466666666666665,30
1106_2006,66.16666666666667,22.966666666666665,56.2,5.8,18.633333333333333,14.433333333333334,23.0,13.166666666666666,22.466666666666665,10.266666666666667,11.133333333333333,5.966666666666667,2.7666666666666666,21.333333333333332,30
1106_2007,60.206896551724135,19.96551724137931,54.86206896551724,5.827586206896552,19.310344827586206,14.448275862068966,22.551724137931036,12.96551724137931,21.448275862068964,9.344827586206897,8.931034482758621,6.172413793103448,2.7241379310344827,20.17241379310345,29
1106_2008,71.0,26.22222222222222,57.370370370370374,6.37037037037037,18.037037037037038,12.185185185185185,18.85185185185185,11.925925925925926,25.666666666666668,14.481481481481481,9.88888888888889,5.814814814814815,3.7777777777777777,19.11111111111111,27
1106_2009,69.48275862068965,25.551724137931036,54.93103448275862,5.689655172413793,17.310344827586206,12.689655172413794,20.03448275862069,11.413793103448276,24.724137931034484,14.0,11.344827586206897,5.758620689655173,4.758620689655173,17.620689655172413,29
1106_2010,64.03571428571429,21.214285714285715,53.5,5.928571428571429,19.071428571428573,15.678571428571429,24.25,13.357142857142858,22.321428571428573,12.642857142857142,11.785714285714286,7.464285714285714,4.178571428571429,20.821428571428573,28
1106_2011,61.5625,20.90625,52.5625,4.8125,16.46875,14.9375,24.53125,13.3125,22.28125,11.625,11.53125,7.3125,4.5625,22.3125,32
1106_2012,57.724137931034484,20.482758620689655,54.93103448275862,6.0,19.93103448275862,10.758620689655173,18.724137931034484,12.724137931034482,22.137931034482758,11.137931034482758,10.10344827586207,7.482758620689655,3.0344827586206895,19.862068965517242,29
1106_2013,61.483870967741936,22.741935483870968,56.25806451612903,5.258064516129032,17.161290322580644,10.741935483870968,18.096774193548388,12.387096774193548,23.161290322580644,11.483870967741936,9.903225806451612,6.161290322580645,3.225806451612903,18.741935483870968,31
1106_2014,69.89285714285714,24.142857142857142,58.214285714285715,5.321428571428571,18.821428571428573,16.285714285714285,23.821428571428573,13.0,22.214285714285715,12.071428571428571,9.607142857142858,6.678571428571429,3.5357142857142856,18.428571428571427,28
1106_2015,70.70370370370371,25.77777777777778,59.370370370370374,5.703703703703703,16.11111111111111,13.444444444444445,20.555555555555557,13.333333333333334,25.925925925925927,13.407407407407407,11.444444444444445,6.074074074074074,4.185185185185185,18.0,27
1106_2016,70.06896551724138,24.79310344827586,62.10344827586207,6.931034482758621,20.896551724137932,13.551724137931034,19.551724137931036,12.689655172413794,24.586206896551722,11.827586206896552,8.793103448275861,5.724137931034483,3.793103448275862,21.344827586206897,29
1106_2017,65.56666666666666,23.1,59.333333333333336,6.366666666666666,21.633333333333333,13.0,20.5,13.9,24.5,9.466666666666667,9.133333333333333,4.866666666666666,3.0,20.433333333333334,30
1106_2018,68.6774193548387,24.225806451612904,59.29032258064516,6.741935483870968,20.580645161290324,13.483870967741936,20.870967741935484,12.709677419354838,23.774193548387096,10.096774193548388,8.741935483870968,5.451612903225806,4.193548387096774,20.903225806451612,31
1106_2019,65.62068965517241,22.448275862068964,56.37931034482759,7.068965517241379,21.96551724137931,13.655172413793103,21.06896551724138,12.10344827586207,22.275862068965516,9.862068965517242,9.89655172413793,6.137931034482759,3.0,18.310344827586206,29
1106_2020,61.40625,21.34375,55.09375,6.5,21.46875,12.21875,19.65625,9.34375,22.875,10.15625,9.59375,6.25,2.1875,19.9375,32
1106_2021,64.22222222222223,21.27777777777778,56.05555555555556,6.166666666666667,19.444444444444443,15.5,23.944444444444443,9.166666666666666,23.77777777777778,9.722222222222221,9.5,6.111111111111111,2.388888888888889,6.222222222222222,18
1106_2022,68.96666666666667,24.0,56.8,6.2,18.8,14.766666666666667,20.933333333333334,8.133333333333333,22.1,11.8,9.7,7.4,3.566666666666667,17.933333333333334,30
1107_2003,65.92857142857143,24.035714285714285,57.464285714285715,7.928571428571429,22.178571428571427,9.928571428571429,13.535714285714286,8.25,20.25,11.928571428571429,7.5,6.857142857142857,2.0357142857142856,15.892857142857142,28
1107_2004,57.892857142857146,21.357142857142858,53.32142857142857,4.821428571428571,16.25,10.357142857142858,14.035714285714286,10.214285714285714,22.5,11.214285714285714,9.678571428571429,6.714285714285714,2.25,16.928571428571427,28
1107_2005,67.35714285714286,23.0,52.57142857142857,6.214285714285714,16.392857142857142,15.142857142857142,20.964285714285715,11.071428571428571,22.678571428571427,13.071428571428571,10.0,8.035714285714286,2.4285714285714284,17.285714285714285,28
1107_2006,68.87096774193549,23.193548387096776,51.87096774193548,7.064516129032258,18.516129032258064,15.419354838709678,21.741935483870968,11.0,22.967741935483872,12.612903225806452,11.0,6.387096774193548,2.5806451612903225,19.096774193548388,31
1107_2007,68.25,24.25,53.25,6.84375,18.15625,12.90625,17.875,11.0,22.96875,13.125,11.09375,5.90625,2.4375,19.21875,32
1107_2008,68.26666666666667,24.066666666666666,55.0,5.733333333333333,16.6,14.4,19.833333333333332,12.433333333333334,25.033333333333335,12.333333333333334,10.233333333333333,5.333333333333333,2.433333333333333,20.466666666666665,30
1107_2009,64.0,23.06451612903226,55.25806451612903,4.193548387096774,14.258064516129032,13.67741935483871,19.032258064516128,13.709677419354838,25.193548387096776,11.838709677419354,11.0,5.161290322580645,2.032258064516129,20.193548387096776,31
1107_2010,62.71875,22.1875,54.25,6.0625,18.28125,12.28125,17.03125,12.46875,23.65625,11.875,9.96875,5.84375,3.03125,18.8125,32
1107_2011,62.90625,22.625,53.34375,7.4375,19.71875,10.21875,15.84375,11.75,24.34375,11.59375,9.5,4.6875,2.8125,15.78125,32
1107_2012,71.93939393939394,24.727272727272727,55.515151515151516,7.0606060606060606,19.666666666666668,15.424242424242424,20.454545454545453,11.878787878787879,22.90909090909091,12.303030303030303,9.696969696969697,5.515151515151516,2.8181818181818183,16.96969696969697,33
1107_2013,64.41176470588235,21.823529411764707,49.88235294117647,6.0,16.470588235294116,14.764705882352942,20.11764705882353,9.852941176470589,23.735294117647058,11.176470588235293,11.147058823529411,5.4411764705882355,2.0294117647058822,16.029411764705884,34
1107_2014,66.03125,22.4375,51.09375,4.90625,13.46875,16.25,21.71875,10.34375,24.21875,11.0625,9.84375,5.53125,3.0625,17.25,32
1107_2015,65.5,22.0625,50.15625,6.15625,17.09375,15.21875,20.0,10.0,23.625,10.4375,9.84375,5.65625,1.625,16.5,32
1107_2016,74.61290322580645,25.193548387096776,55.25806451612903,5.709677419354839,17.64516129032258,18.516129032258064,24.70967741935484,11.709677419354838,26.516129032258064,12.451612903225806,10.612903225806452,6.483870967741935,1.5806451612903225,17.580645161290324,31
1107_2017,71.03030303030303,25.696969696969695,54.96969696969697,5.393939393939394,14.636363636363637,14.242424242424242,18.666666666666668,10.636363636363637,24.454545454545453,12.575757575757576,8.878787878787879,5.121212121212121,1.696969696969697,17.848484848484848,33
1107_2018,73.3225806451613,25.870967741935484,56.903225806451616,5.709677419354839,15.516129032258064,15.870967741935484,21.032258064516128,11.612903225806452,25.258064516129032,12.516129032258064,9.548387096774194,4.709677419354839,2.935483870967742,16.258064516129032,31
1107_2019,66.80645161290323,22.516129032258064,54.41935483870968,8.612903225806452,24.774193548387096,13.161290322580646,17.677419354838708,9.258064516129032,24.193548387096776,12.516129032258064,9.225806451612904,6.032258064516129,2.4516129032258065,17.870967741935484,31
1107_2020,66.09677419354838,22.483870967741936,55.064516129032256,7.903225806451613,24.225806451612904,13.225806451612904,18.580645161290324,8.161290322580646,25.838709677419356,12.67741935483871,10.193548387096774,5.612903225806452,2.6774193548387095,16.838709677419356,31
